s,lambda_ces_kappa_low,lambda_ces_kappa_high,lambda_sine_kappa_low,lambda_sine_kappa_high,kappa_low,kappa_high,ces_peak_s_low,ces_peak_s_high,sine_peak_s_low,sine_peak_s_high,ces_peak_lambda_low,ces_peak_lambda_high,sine_peak_lambda_low,sine_peak_lambda_high
0.4960000000,0.2742962240,0.1508292982,0.2742921215,0.1508270423,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.4980000000,0.2741088795,0.1507758908,0.2741078546,0.1507753270,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5000000000,0.2739130435,0.1507177033,0.2739130435,0.1507177033,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5020000000,0.2737087345,0.1506547416,0.2737077110,0.1506541783,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5040000000,0.2734959711,0.1505870114,0.2734918805,0.1505847591,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5060000000,0.2732747718,0.1505145184,0.2732655754,0.1505094532,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5080000000,0.2730451550,0.1504372683,0.2730288198,0.1504282683,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5100000000,0.2728071391,0.1503552669,0.2727816379,0.1503412122,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5120000000,0.2725607425,0.1502685199,0.2725240545,0.1502482931,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5140000000,0.2723059833,0.1501770330,0.2722560944,0.1501495193,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5160000000,0.2720428799,0.1500808119,0.2719777832,0.1500448993,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5180000000,0.2717714503,0.1499798623,0.2716891464,0.1499344421,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5200000000,0.2714917127,0.1498741899,0.2713902102,0.1498181564,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5220000000,0.2712036852,0.1497638002,0.2710810009,0.1496960517,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5240000000,0.2709073857,0.1496486991,0.2707615454,0.1495681372,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5260000000,0.2706028322,0.1495288921,0.2704318707,0.1494344227,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5280000000,0.2702900427,0.1494043849,0.2700920043,0.1492949180,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5300000000,0.2699690349,0.1492751831,0.2697419739,0.1491496332,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5320000000,0.2696398267,0.1491412924,0.2693818077,0.1489985787,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5340000000,0.2693024358,0.1490027183,0.2690115341,0.1488417649,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5360000000,0.2689568800,0.1488594664,0.2686311820,0.1486792025,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5380000000,0.2686031768,0.1487115425,0.2682407805,0.1485109026,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5400000000,0.2682413438,0.1485589520,0.2678403590,0.1483368763,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5420000000,0.2678713987,0.1484017005,0.2674299474,0.1481571349,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5440000000,0.2674933589,0.1482397936,0.2670095758,0.1479716901,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5460000000,0.2671072418,0.1480732369,0.2665792746,0.1477805536,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5480000000,0.2667130649,0.1479020359,0.2661390746,0.1475837375,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5500000000,0.2663108454,0.1477261961,0.2656890071,0.1473812540,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5520000000,0.2659006008,0.1475457232,0.2652291033,0.1471731156,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5540000000,0.2654823481,0.1473606225,0.2647593951,0.1469593348,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5560000000,0.2650561047,0.1471708997,0.2642799146,0.1467399246,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
0.5580000000,0.2646218877,0.1469765603,0.2637906941,0.1465148979,0.2000000000,0.8000000000,0.4539607667,0.4748166593,0.4626563555,0.4795829662,0.2762353999,0.1511000444,0.2757915818,0.1510274257
