s,epsilon,epsilon_plus_alpha_s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,dlnY_dz_kappa_0,dlnY_dz_kappa_0_5,dlnY_dz_kappa_1,dlnR_dz_kappa_0,dlnR_dz_kappa_0_5,dlnR_dz_kappa_1,sign_region_kappa_0,sign_region_kappa_0_5,sign_region_kappa_1,peak_s_kappa_0,peak_s_kappa_0_5,peak_s_kappa_1,peak_lambda_kappa_0,peak_lambda_kappa_0_5,peak_lambda_kappa_1
0.0800000000,0.1000000000,0.1280000000,0.1104901961,0.0720596768,0.0324978974,-0.0104901961,0.0279403232,0.0675021026,0.0175098039,0.0559403232,0.0955021026,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0820000000,0.1000000000,0.1287000000,0.1128932645,0.0736525268,0.0332281498,-0.0128932645,0.0263474732,0.0667718502,0.0158067355,0.0550474732,0.0954718502,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0840000000,0.1000000000,0.1294000000,0.1152795467,0.0752354779,0.0339544423,-0.0152795467,0.0247645221,0.0660455577,0.0141204533,0.0541645221,0.0954455577,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0860000000,0.1000000000,0.1301000000,0.1176490928,0.0768085494,0.0346767783,-0.0176490928,0.0231914506,0.0653232217,0.0124509072,0.0532914506,0.0954232217,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0880000000,0.1000000000,0.1308000000,0.1200019530,0.0783717604,0.0353951613,-0.0200019530,0.0216282396,0.0646048387,0.0107980470,0.0524282396,0.0954048387,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0900000000,0.1000000000,0.1315000000,0.1223381770,0.0799251304,0.0361095948,-0.0223381770,0.0200748696,0.0638904052,0.0091618230,0.0515748696,0.0953904052,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0920000000,0.1000000000,0.1322000000,0.1246578146,0.0814686784,0.0368200823,-0.0246578146,0.0185313216,0.0631799177,0.0075421854,0.0507313216,0.0953799177,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0940000000,0.1000000000,0.1329000000,0.1269609152,0.0830024237,0.0375266272,-0.0269609152,0.0169975763,0.0624733728,0.0059390848,0.0498975763,0.0953733728,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0960000000,0.1000000000,0.1336000000,0.1292475280,0.0845263852,0.0382292331,-0.0292475280,0.0154736148,0.0617707669,0.0043524720,0.0490736148,0.0953707669,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0980000000,0.1000000000,0.1343000000,0.1315177021,0.0860405822,0.0389279034,-0.0315177021,0.0139594178,0.0610720966,0.0027822979,0.0482594178,0.0953720966,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1000000000,0.1000000000,0.1350000000,0.1337714863,0.0875450335,0.0396226415,-0.0337714863,0.0124549665,0.0603773585,0.0012285137,0.0474549665,0.0953773585,only_real_income_rises,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1020000000,0.1000000000,0.1357000000,0.1360089295,0.0890397581,0.0403134510,-0.0360089295,0.0109602419,0.0596865490,-0.0003089295,0.0466602419,0.0953865490,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1040000000,0.1000000000,0.1364000000,0.1382300799,0.0905247749,0.0410003352,-0.0382300799,0.0094752251,0.0589996648,-0.0018300799,0.0458752251,0.0953996648,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1060000000,0.1000000000,0.1371000000,0.1404349860,0.0920001027,0.0416832977,-0.0404349860,0.0079998973,0.0583167023,-0.0033349860,0.0450998973,0.0954167023,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1080000000,0.1000000000,0.1378000000,0.1426236958,0.0934657605,0.0423623419,-0.0426236958,0.0065342395,0.0576376581,-0.0048236958,0.0443342395,0.0954376581,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1100000000,0.1000000000,0.1385000000,0.1447962572,0.0949217668,0.0430374712,-0.0447962572,0.0050782332,0.0569625288,-0.0062962572,0.0435782332,0.0954625288,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1120000000,0.1000000000,0.1392000000,0.1469527179,0.0963681404,0.0437086891,-0.0469527179,0.0036318596,0.0562913109,-0.0077527179,0.0428318596,0.0954913109,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1140000000,0.1000000000,0.1399000000,0.1490931255,0.0978049000,0.0443759990,-0.0490931255,0.0021951000,0.0556240010,-0.0091931255,0.0420951000,0.0955240010,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1160000000,0.1000000000,0.1406000000,0.1512175274,0.0992320642,0.0450394043,-0.0512175274,0.0007679358,0.0549605957,-0.0106175274,0.0413679358,0.0955605957,both_fall,both_rise,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1180000000,0.1000000000,0.1413000000,0.1533259706,0.1006496515,0.0456989085,-0.0533259706,-0.0006496515,0.0543010915,-0.0120259706,0.0406503485,0.0956010915,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1200000000,0.1000000000,0.1420000000,0.1554185022,0.1020576805,0.0463545151,-0.0554185022,-0.0020576805,0.0536454849,-0.0134185022,0.0399423195,0.0956454849,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1220000000,0.1000000000,0.1427000000,0.1574951689,0.1034561696,0.0470062273,-0.0574951689,-0.0034561696,0.0529937727,-0.0147951689,0.0392438304,0.0956937727,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1240000000,0.1000000000,0.1434000000,0.1595560174,0.1048451372,0.0476540486,-0.0595560174,-0.0048451372,0.0523459514,-0.0161560174,0.0385548628,0.0957459514,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1260000000,0.1000000000,0.1441000000,0.1616010941,0.1062246017,0.0482979825,-0.0616010941,-0.0062246017,0.0517020175,-0.0175010941,0.0378753983,0.0958020175,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1280000000,0.1000000000,0.1448000000,0.1636304452,0.1075945814,0.0489380324,-0.0636304452,-0.0075945814,0.0510619676,-0.0188304452,0.0372054186,0.0958619676,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1300000000,0.1000000000,0.1455000000,0.1656441168,0.1089550946,0.0495742016,-0.0656441168,-0.0089550946,0.0504257984,-0.0201441168,0.0365449054,0.0959257984,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1320000000,0.1000000000,0.1462000000,0.1676421547,0.1103061595,0.0502064936,-0.0676421547,-0.0103061595,0.0497935064,-0.0214421547,0.0358938405,0.0959935064,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
