kappa,lambda_at_sbar,dlnY_dz,dlnR_dz,sbar,kappa_R_star,kappa_Y_star
0.4940000000,0.1749957077,-0.0749957077,0.0125042923,0.2500000000,0.4233766234,0.9003322259
0.4960000000,0.1746393877,-0.0746393877,0.0128606123,0.2500000000,0.4233766234,0.9003322259
0.4980000000,0.1742829453,-0.0742829453,0.0132170547,0.2500000000,0.4233766234,0.9003322259
0.5000000000,0.1739263804,-0.0739263804,0.0135736196,0.2500000000,0.4233766234,0.9003322259
0.5020000000,0.1735696930,-0.0735696930,0.0139303070,0.2500000000,0.4233766234,0.9003322259
0.5040000000,0.1732128830,-0.0732128830,0.0142871170,0.2500000000,0.4233766234,0.9003322259
0.5060000000,0.1728559503,-0.0728559503,0.0146440497,0.2500000000,0.4233766234,0.9003322259
0.5080000000,0.1724988949,-0.0724988949,0.0150011051,0.2500000000,0.4233766234,0.9003322259
0.5100000000,0.1721417168,-0.0721417168,0.0153582832,0.2500000000,0.4233766234,0.9003322259
0.5120000000,0.1717844158,-0.0717844158,0.0157155842,0.2500000000,0.4233766234,0.9003322259
0.5140000000,0.1714269920,-0.0714269920,0.0160730080,0.2500000000,0.4233766234,0.9003322259
0.5160000000,0.1710694451,-0.0710694451,0.0164305549,0.2500000000,0.4233766234,0.9003322259
0.5180000000,0.1707117753,-0.0707117753,0.0167882247,0.2500000000,0.4233766234,0.9003322259
0.5200000000,0.1703539823,-0.0703539823,0.0171460177,0.2500000000,0.4233766234,0.9003322259
0.5220000000,0.1699960662,-0.0699960662,0.0175039338,0.2500000000,0.4233766234,0.9003322259
0.5240000000,0.1696380269,-0.0696380269,0.0178619731,0.2500000000,0.4233766234,0.9003322259
0.5260000000,0.1692798642,-0.0692798642,0.0182201358,0.2500000000,0.4233766234,0.9003322259
0.5280000000,0.1689215783,-0.0689215783,0.0185784217,0.2500000000,0.4233766234,0.9003322259
0.5300000000,0.1685631689,-0.0685631689,0.0189368311,0.2500000000,0.4233766234,0.9003322259
0.5320000000,0.1682046361,-0.0682046361,0.0192953639,0.2500000000,0.4233766234,0.9003322259
0.5340000000,0.1678459797,-0.0678459797,0.0196540203,0.2500000000,0.4233766234,0.9003322259
0.5360000000,0.1674871997,-0.0674871997,0.0200128003,0.2500000000,0.4233766234,0.9003322259
0.5380000000,0.1671282960,-0.0671282960,0.0203717040,0.2500000000,0.4233766234,0.9003322259
0.5400000000,0.1667692687,-0.0667692687,0.0207307313,0.2500000000,0.4233766234,0.9003322259
0.5420000000,0.1664101175,-0.0664101175,0.0210898825,0.2500000000,0.4233766234,0.9003322259
0.5440000000,0.1660508424,-0.0660508424,0.0214491576,0.2500000000,0.4233766234,0.9003322259
0.5460000000,0.1656914435,-0.0656914435,0.0218085565,0.2500000000,0.4233766234,0.9003322259
0.5480000000,0.1653319206,-0.0653319206,0.0221680794,0.2500000000,0.4233766234,0.9003322259
0.5500000000,0.1649722736,-0.0649722736,0.0225277264,0.2500000000,0.4233766234,0.9003322259
0.5520000000,0.1646125025,-0.0646125025,0.0228874975,0.2500000000,0.4233766234,0.9003322259
0.5540000000,0.1642526072,-0.0642526072,0.0232473928,0.2500000000,0.4233766234,0.9003322259
0.5560000000,0.1638925877,-0.0638925877,0.0236074123,0.2500000000,0.4233766234,0.9003322259
0.5580000000,0.1635324438,-0.0635324438,0.0239675562,0.2500000000,0.4233766234,0.9003322259
0.5600000000,0.1631721756,-0.0631721756,0.0243278244,0.2500000000,0.4233766234,0.9003322259
0.5620000000,0.1628117830,-0.0628117830,0.0246882170,0.2500000000,0.4233766234,0.9003322259
0.5640000000,0.1624512659,-0.0624512659,0.0250487341,0.2500000000,0.4233766234,0.9003322259
0.5660000000,0.1620906242,-0.0620906242,0.0254093758,0.2500000000,0.4233766234,0.9003322259
0.5680000000,0.1617298578,-0.0617298578,0.0257701422,0.2500000000,0.4233766234,0.9003322259
0.5700000000,0.1613689668,-0.0613689668,0.0261310332,0.2500000000,0.4233766234,0.9003322259
0.5720000000,0.1610079510,-0.0610079510,0.0264920490,0.2500000000,0.4233766234,0.9003322259
0.5740000000,0.1606468104,-0.0606468104,0.0268531896,0.2500000000,0.4233766234,0.9003322259
0.5760000000,0.1602855449,-0.0602855449,0.0272144551,0.2500000000,0.4233766234,0.9003322259
0.5780000000,0.1599241545,-0.0599241545,0.0275758455,0.2500000000,0.4233766234,0.9003322259
0.5800000000,0.1595626390,-0.0595626390,0.0279373610,0.2500000000,0.4233766234,0.9003322259
0.5820000000,0.1592009984,-0.0592009984,0.0282990016,0.2500000000,0.4233766234,0.9003322259
0.5840000000,0.1588392327,-0.0588392327,0.0286607673,0.2500000000,0.4233766234,0.9003322259
0.5860000000,0.1584773418,-0.0584773418,0.0290226582,0.2500000000,0.4233766234,0.9003322259
0.5880000000,0.1581153257,-0.0581153257,0.0293846743,0.2500000000,0.4233766234,0.9003322259
0.5900000000,0.1577531841,-0.0577531841,0.0297468159,0.2500000000,0.4233766234,0.9003322259
0.5920000000,0.1573909172,-0.0573909172,0.0301090828,0.2500000000,0.4233766234,0.9003322259
0.5940000000,0.1570285248,-0.0570285248,0.0304714752,0.2500000000,0.4233766234,0.9003322259
0.5960000000,0.1566660068,-0.0566660068,0.0308339932,0.2500000000,0.4233766234,0.9003322259
0.5980000000,0.1563033633,-0.0563033633,0.0311966367,0.2500000000,0.4233766234,0.9003322259
0.6000000000,0.1559405941,-0.0559405941,0.0315594059,0.2500000000,0.4233766234,0.9003322259
0.6020000000,0.1555776991,-0.0555776991,0.0319223009,0.2500000000,0.4233766234,0.9003322259
0.6040000000,0.1552146784,-0.0552146784,0.0322853216,0.2500000000,0.4233766234,0.9003322259
0.6060000000,0.1548515317,-0.0548515317,0.0326484683,0.2500000000,0.4233766234,0.9003322259
0.6080000000,0.1544882592,-0.0544882592,0.0330117408,0.2500000000,0.4233766234,0.9003322259
0.6100000000,0.1541248606,-0.0541248606,0.0333751394,0.2500000000,0.4233766234,0.9003322259
0.6120000000,0.1537613360,-0.0537613360,0.0337386640,0.2500000000,0.4233766234,0.9003322259
0.6140000000,0.1533976853,-0.0533976853,0.0341023147,0.2500000000,0.4233766234,0.9003322259
0.6160000000,0.1530339084,-0.0530339084,0.0344660916,0.2500000000,0.4233766234,0.9003322259
0.6180000000,0.1526700052,-0.0526700052,0.0348299948,0.2500000000,0.4233766234,0.9003322259
0.6200000000,0.1523059757,-0.0523059757,0.0351940243,0.2500000000,0.4233766234,0.9003322259
0.6220000000,0.1519418198,-0.0519418198,0.0355581802,0.2500000000,0.4233766234,0.9003322259
0.6240000000,0.1515775375,-0.0515775375,0.0359224625,0.2500000000,0.4233766234,0.9003322259
0.6260000000,0.1512131286,-0.0512131286,0.0362868714,0.2500000000,0.4233766234,0.9003322259
0.6280000000,0.1508485931,-0.0508485931,0.0366514069,0.2500000000,0.4233766234,0.9003322259
0.6300000000,0.1504839310,-0.0504839310,0.0370160690,0.2500000000,0.4233766234,0.9003322259
0.6320000000,0.1501191422,-0.0501191422,0.0373808578,0.2500000000,0.4233766234,0.9003322259
0.6340000000,0.1497542266,-0.0497542266,0.0377457734,0.2500000000,0.4233766234,0.9003322259
0.6360000000,0.1493891841,-0.0493891841,0.0381108159,0.2500000000,0.4233766234,0.9003322259
0.6380000000,0.1490240147,-0.0490240147,0.0384759853,0.2500000000,0.4233766234,0.9003322259
0.6400000000,0.1486587183,-0.0486587183,0.0388412817,0.2500000000,0.4233766234,0.9003322259
0.6420000000,0.1482932949,-0.0482932949,0.0392067051,0.2500000000,0.4233766234,0.9003322259
0.6440000000,0.1479277444,-0.0479277444,0.0395722556,0.2500000000,0.4233766234,0.9003322259
0.6460000000,0.1475620667,-0.0475620667,0.0399379333,0.2500000000,0.4233766234,0.9003322259
0.6480000000,0.1471962617,-0.0471962617,0.0403037383,0.2500000000,0.4233766234,0.9003322259
0.6500000000,0.1468303294,-0.0468303294,0.0406696706,0.2500000000,0.4233766234,0.9003322259
0.6520000000,0.1464642697,-0.0464642697,0.0410357303,0.2500000000,0.4233766234,0.9003322259
0.6540000000,0.1460980826,-0.0460980826,0.0414019174,0.2500000000,0.4233766234,0.9003322259
0.6560000000,0.1457317680,-0.0457317680,0.0417682320,0.2500000000,0.4233766234,0.9003322259
0.6580000000,0.1453653258,-0.0453653258,0.0421346742,0.2500000000,0.4233766234,0.9003322259
0.6600000000,0.1449987559,-0.0449987559,0.0425012441,0.2500000000,0.4233766234,0.9003322259
0.6620000000,0.1446320583,-0.0446320583,0.0428679417,0.2500000000,0.4233766234,0.9003322259
0.6640000000,0.1442652330,-0.0442652330,0.0432347670,0.2500000000,0.4233766234,0.9003322259
0.6660000000,0.1438982798,-0.0438982798,0.0436017202,0.2500000000,0.4233766234,0.9003322259
0.6680000000,0.1435311986,-0.0435311986,0.0439688014,0.2500000000,0.4233766234,0.9003322259
0.6700000000,0.1431639895,-0.0431639895,0.0443360105,0.2500000000,0.4233766234,0.9003322259
0.6720000000,0.1427966524,-0.0427966524,0.0447033476,0.2500000000,0.4233766234,0.9003322259
0.6740000000,0.1424291871,-0.0424291871,0.0450708129,0.2500000000,0.4233766234,0.9003322259
0.6760000000,0.1420615937,-0.0420615937,0.0454384063,0.2500000000,0.4233766234,0.9003322259
0.6780000000,0.1416938720,-0.0416938720,0.0458061280,0.2500000000,0.4233766234,0.9003322259
0.6800000000,0.1413260219,-0.0413260219,0.0461739781,0.2500000000,0.4233766234,0.9003322259
0.6820000000,0.1409580435,-0.0409580435,0.0465419565,0.2500000000,0.4233766234,0.9003322259
0.6840000000,0.1405899367,-0.0405899367,0.0469100633,0.2500000000,0.4233766234,0.9003322259
0.6860000000,0.1402217013,-0.0402217013,0.0472782987,0.2500000000,0.4233766234,0.9003322259
