s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.2480000000,0.2582609089,0.1731021098,0.0803598162,0.1000000000,0.1868000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2500000000,0.2594117647,0.1739263804,0.0807692308,0.1000000000,0.1875000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2520000000,0.2605494415,0.1747422159,0.0811749651,0.1000000000,0.1882000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2540000000,0.2616739755,0.1755496319,0.0815770224,0.1000000000,0.1889000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2560000000,0.2627854032,0.1763486440,0.0819754058,0.1000000000,0.1896000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2580000000,0.2638837606,0.1771392678,0.0823701184,0.1000000000,0.1903000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2600000000,0.2649690838,0.1779215187,0.0827611635,0.1000000000,0.1910000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2620000000,0.2660414085,0.1786954124,0.0831485440,0.1000000000,0.1917000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2640000000,0.2671007706,0.1794609641,0.0835322633,0.1000000000,0.1924000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2660000000,0.2681472056,0.1802181893,0.0839123245,0.1000000000,0.1931000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2680000000,0.2691807490,0.1809671033,0.0842887307,0.1000000000,0.1938000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2700000000,0.2702014362,0.1817077216,0.0846614850,0.1000000000,0.1945000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2720000000,0.2712093023,0.1824400593,0.0850305905,0.1000000000,0.1952000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2740000000,0.2722043826,0.1831641317,0.0853960505,0.1000000000,0.1959000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2760000000,0.2731867118,0.1838799540,0.0857578681,0.1000000000,0.1966000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2780000000,0.2741563249,0.1845875415,0.0861160463,0.1000000000,0.1973000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2800000000,0.2751132566,0.1852869092,0.0864705882,0.1000000000,0.1980000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2820000000,0.2760575414,0.1859780722,0.0868214971,0.1000000000,0.1987000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2840000000,0.2769892138,0.1866610456,0.0871687760,0.1000000000,0.1994000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2860000000,0.2779083082,0.1873358444,0.0875124281,0.1000000000,0.2001000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2880000000,0.2788148587,0.1880024837,0.0878524563,0.1000000000,0.2008000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2900000000,0.2797088994,0.1886609783,0.0881888640,0.1000000000,0.2015000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2920000000,0.2805904642,0.1893113432,0.0885216540,0.1000000000,0.2022000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2940000000,0.2814595871,0.1899535933,0.0888508296,0.1000000000,0.2029000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2960000000,0.2823163017,0.1905877434,0.0891763939,0.1000000000,0.2036000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2980000000,0.2831606416,0.1912138083,0.0894983498,0.1000000000,0.2043000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.3000000000,0.2839926403,0.1918318028,0.0898167006,0.1000000000,0.2050000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.3020000000,0.2848123311,0.1924417416,0.0901314493,0.1000000000,0.2057000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.3040000000,0.2856197473,0.1930436395,0.0904425989,0.1000000000,0.2064000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.3060000000,0.2864149219,0.1936375110,0.0907501526,0.1000000000,0.2071000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.3080000000,0.2871978880,0.1942233708,0.0910541134,0.1000000000,0.2078000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
