s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.1640000000,0.1975213454,0.1306529254,0.0597986209,0.1000000000,0.1574000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1660000000,0.1992604617,0.1318461135,0.0603655164,0.1000000000,0.1581000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1680000000,0.2009847406,0.1330301736,0.0609285952,0.1000000000,0.1588000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1700000000,0.2026942246,0.1342051230,0.0614878606,0.1000000000,0.1595000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1720000000,0.2043889561,0.1353709791,0.0620433159,0.1000000000,0.1602000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1740000000,0.2060689776,0.1365277591,0.0625949645,0.1000000000,0.1609000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1760000000,0.2077343312,0.1376754802,0.0631428098,0.1000000000,0.1616000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1780000000,0.2093850587,0.1388141596,0.0636868549,0.1000000000,0.1623000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1800000000,0.2110212021,0.1399438146,0.0642271032,0.1000000000,0.1630000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1820000000,0.2126428030,0.1410644621,0.0647635580,0.1000000000,0.1637000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1840000000,0.2142499029,0.1421761193,0.0652962227,0.1000000000,0.1644000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1860000000,0.2158425432,0.1432788031,0.0658251004,0.1000000000,0.1651000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1880000000,0.2174207650,0.1443725306,0.0663501946,0.1000000000,0.1658000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1900000000,0.2189846094,0.1454573186,0.0668715084,0.1000000000,0.1665000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1920000000,0.2205341173,0.1465331841,0.0673890452,0.1000000000,0.1672000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1940000000,0.2220693293,0.1476001438,0.0679028082,0.1000000000,0.1679000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1960000000,0.2235902861,0.1486582147,0.0684128008,0.1000000000,0.1686000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1980000000,0.2250970280,0.1497074134,0.0689190262,0.1000000000,0.1693000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2000000000,0.2265895954,0.1507477567,0.0694214876,0.1000000000,0.1700000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2020000000,0.2280680283,0.1517792613,0.0699201884,0.1000000000,0.1707000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2040000000,0.2295323666,0.1528019437,0.0704151317,0.1000000000,0.1714000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2060000000,0.2309826503,0.1538158206,0.0709063210,0.1000000000,0.1721000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2080000000,0.2324189189,0.1548209086,0.0713937593,0.1000000000,0.1728000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2100000000,0.2338412120,0.1558172241,0.0718774500,0.1000000000,0.1735000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2120000000,0.2352495689,0.1568047836,0.0723573963,0.1000000000,0.1742000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2140000000,0.2366440289,0.1577836035,0.0728336014,0.1000000000,0.1749000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2160000000,0.2380246309,0.1587537002,0.0733060686,0.1000000000,0.1756000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2180000000,0.2393914140,0.1597150902,0.0737748011,0.1000000000,0.1763000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2200000000,0.2407444169,0.1606677896,0.0742398022,0.1000000000,0.1770000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2220000000,0.2420836782,0.1616118147,0.0747010751,0.1000000000,0.1777000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2240000000,0.2434092364,0.1625471818,0.0751586230,0.1000000000,0.1784000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2260000000,0.2447211299,0.1634739070,0.0756124491,0.1000000000,0.1791000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2280000000,0.2460193968,0.1643920065,0.0760625566,0.1000000000,0.1798000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2300000000,0.2473040752,0.1653014964,0.0765089488,0.1000000000,0.1805000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2320000000,0.2485752031,0.1662023927,0.0769516288,0.1000000000,0.1812000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2340000000,0.2498328182,0.1670947115,0.0773905999,0.1000000000,0.1819000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2360000000,0.2510769581,0.1679784688,0.0778258653,0.1000000000,0.1826000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2380000000,0.2523076603,0.1688536804,0.0782574282,0.1000000000,0.1833000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2400000000,0.2535249622,0.1697203623,0.0786852917,0.1000000000,0.1840000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2420000000,0.2547289010,0.1705785305,0.0791094591,0.1000000000,0.1847000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2440000000,0.2559195138,0.1714282005,0.0795299335,0.1000000000,0.1854000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.2460000000,0.2570968375,0.1722693884,0.0799467181,0.1000000000,0.1861000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
