z,c,G_E,G_L,platform_interval_width
0.5,0.9125000000000001,0.30631383706709375,1.2392448915586178,0.9329310544915241
0.5,0.9137500000000001,0.31583311432091626,1.2539771260429298,0.9381440117220134
0.5,0.915,0.32534333852795483,1.2686926683160267,0.9433493297880718
0.5,0.91625,0.3348445268911591,1.2833915570497374,0.9485470301585783
0.5,0.9175,0.3443366965644793,1.2980738307790416,0.9537371342145623
0.5,0.91875,0.3538198646530728,1.3127395279027017,0.9589196632496289
0.5,0.92,0.3632940482134719,1.3273886866839286,0.9640946384704567
0.5,0.92125,0.37275926425378036,1.3420213452510248,0.9692620809972444
0.5,0.9225000000000001,0.3822155297338518,1.3566375415980236,0.9744220118641718
0.5,0.9237500000000001,0.39166286156546803,1.3712373135853295,0.9795744520198615
0.5,0.925,0.40110127661253275,1.3858206989403543,0.9847194223278215
0.5,0.92625,0.4105307916912347,1.4003877352581602,0.9898569435669256
0.5,0.9275,0.41995142357024573,1.4149384600020651,0.9949870364318194
0.5,0.92875,0.4293631889708814,1.4294729105042907,1.0001097215334094
0.5,0.9299999999999999,0.4387661045673005,1.4439911239665586,1.005225019399258
0.5,0.93125,0.4481601869866587,1.458493137460732,1.0103329504740732
0.5,0.9325,0.45754545280930214,1.472978987929408,1.0154335351201058
0.5,0.9337500000000001,0.4669219185689381,1.4874487121865425,1.0205267936176043
0.5,0.935,0.47628960075280513,1.5019023469180395,1.0256127461652342
0.5,0.93625,0.4856485158018564,1.5163399286823669,1.0306914128805105
0.5,0.9375,0.49499868011092113,1.5307614939111571,1.035762813800236
0.5,0.93875,0.5043401100288922,1.5451670789097842,1.040826968880892
0.5,0.94,0.5136728218588757,1.5595567198579785,1.0458838979991028
0.5,0.94125,0.5229968318583881,1.5739304528103903,1.0509336209520024
0.5,0.9425,0.5323121562395036,1.5882883136971986,1.0559761574576951
0.5,0.9437500000000001,0.5416188111690351,1.6026303383246783,1.0610115271556433
0.5,0.9450000000000001,0.5509168127687022,1.6169565623757685,1.0660397496070662
0.5,0.94625,0.5602061771152886,1.6312670214106737,1.071060844295385
0.5,0.9475,0.569486920240829,1.6455617508674083,1.0760748306265793
0.5,0.94875,0.5787590581327493,1.6598407860623845,1.0810817279296352
0.5,0.95,0.5880226067340582,1.674104162190955,1.0860815554568968
0.5,0.9512499999999999,0.5972775819434848,1.6883519143280015,1.0910743323845167
0.5,0.9525000000000001,0.6065239996156722,1.7025840774284615,1.0960600778127894
0.5,0.9537500000000001,0.6157618755613116,1.7168006863279026,1.1010388107665912
0.5,0.9550000000000001,0.6249912255473181,1.731001775743076,1.1060105501957578
0.5,0.95625,0.634212065297004,1.7451873802724447,1.1109753149754407
0.5,0.9575,0.6434244104902108,1.7593575343967527,1.115933123906542
0.5,0.95875,0.652628276763499,1.7735122724795453,1.1208839957160464
0.5,0.96,0.6618236797102816,1.787651628767724,1.1258279490574425
0.5,0.9612499999999999,0.6710106348810086,1.8017756373920655,1.130765002511057
0.5,0.9624999999999999,0.680189157783296,1.815884332367773,1.1356951745844768
0.5,0.9637500000000001,0.6893592638821118,1.8299777475949874,1.1406184837128757
0.5,0.9650000000000001,0.698520968599909,1.8440559168593205,1.1455349482594115
0.5,0.96625,0.707674287316789,1.8581188738323866,1.1504445865155977
0.5,0.9675,0.7168192353706696,1.8721666520723013,1.1553474167016318
0.5,0.96875,0.7259558280574149,1.8861992850242264,1.1602434569668114
0.5,0.97,0.7350840806310127,1.900216806020855,1.1651327253898422
0.5,0.97125,0.7442040083037045,1.9142192482829483,1.1700152399792438
0.5,0.9724999999999999,0.7533156262461628,1.928206644919821,1.1748910186736583
0.5,0.9737500000000001,0.7624189495876191,1.9421790289298673,1.1797600793422482
0.5,0.9750000000000001,0.7715139934160228,1.956136433201046,1.1846224397850231
0.5,0.9762500000000001,0.780600772778205,1.970078890511385,1.18947811773318
0.5,0.9775,0.7896793026800007,1.9840064335294916,1.1943271308494907
0.5,0.97875,0.7987495980864291,1.9979190948150205,1.1991694967285915
0.5,0.98,0.8078116739218086,2.011816906819195,1.2040052328973863
0.5,0.98125,0.8168655450699365,2.0256999018852606,1.2088343568153241
0.5,0.9824999999999999,0.8259112263742031,2.0395681122490052,1.2136568858748022
0.5,0.9837500000000001,0.8349487326377724,2.053421570039217,1.2184728374014444
0.5,0.9850000000000001,0.8439780786236957,2.067260307278167,1.2232822286544713
0.5,0.9862500000000001,0.8529992790550736,2.081084355882108,1.2280850768270344
0.5,0.9875,0.8620123486152027,2.094893747661715,1.2328813990465124
0.5,0.98875,0.8710173019477031,2.108688514322592,1.237671212374889
0.5,0.99,0.8800141536566812,2.1224686874657084,1.2424545338090272
0.5,0.99125,0.8890029183068504,2.136234298587893,1.2472313802810426
0.5,0.9924999999999999,0.8979836104236966,2.1499853790822763,1.2520017686585798
0.5,0.9937500000000001,0.9069562444935968,2.163721960238772,1.256765715745175
0.5,0.9950000000000001,0.915920834963966,2.1774440732445153,1.2615232382805492
0.5,0.9962500000000001,0.924877396243412,2.191151749184327,1.266274352940915
0.5,0.9975,0.933825942701848,2.2048450190411852,1.2710190763393372
0.5,0.99875,0.942766488670657,2.218523913696637,1.2757574250259798
0.5,1.0,0.9516990484428047,2.23218846393129,1.2804894154884854
0.5,1.00125,0.9606236362730033,2.245838700425222,1.2852150641522186
0.5,1.0025,0.9695402663778188,2.2594746537584522,1.2899343873806335
0.5,1.00375,0.9784489529358353,2.273096354411363,1.2946474014755278
0.5,1.0050000000000001,0.987349710087769,2.286703832765153,1.299354122677384
