scenario,z,G,nominal_effect,real_effect,nominal_income,real_income,regime
no_consumer_capture_gap,0.5,0.23,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.24,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.25,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.26,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.27,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.28,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.29,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.3,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.31,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.32,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.33,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.34,0.12229899828143255,0.3902147923489802,4.238705484068131,4.5267907552339866,P
no_consumer_capture_gap,0.5,0.35000000000000003,0.12557745871701861,0.39349325278456626,4.2509877136277385,4.539907751315236,P
no_consumer_capture_gap,0.5,0.36,0.12887397778005732,0.396789771847605,4.26334385808766,4.553103685951824,P
no_consumer_capture_gap,0.5,0.37,0.13218855366241417,0.40010434772996184,4.275774362270432,4.566379034198823,P
no_consumer_capture_gap,0.5,0.38,0.1355211839051244,0.4034369779726721,4.288279673675545,4.579734273970202,P
no_consumer_capture_gap,0.5,0.39,0.13887186539833993,0.4067876594658876,4.300860242495561,4.593169886056035,P
no_consumer_capture_gap,0.5,0.4,0.14224059438134545,0.4101563884488931,4.313516521632316,4.606686354139809,P
no_consumer_capture_gap,0.5,0.41000000000000003,0.1456273664426458,0.41354316051019346,4.326248966713227,4.6202841648158355,P
no_consumer_capture_gap,0.5,0.42,0.14903217652012285,0.4169479705876705,4.339058036107692,4.633963807606766,P
