vartheta,G,z,platform_share,nominal_income_effect,real_income_effect,nominal_income,real_income,nominal_income_index,real_income_index,consumer_price_index,regime
0.05,0.17801073614096374,0.27749999999999997,0.5175995031534458,-0.465099661680505,-0.2839398355767989,1.7740061754844096,1.8013046602055272,0.8858929094235822,0.916909120227863,0.9573071424979853,0
0.05,0.17801073614096374,0.285,0.5269556165549071,-0.4627103738502151,-0.2782759080559976,1.7678442859514518,1.7975106174524422,0.8828158207858225,0.9149778575826861,0.9535646175479308,0
0.05,0.17801073614096374,0.2925,0.5362928362834192,-0.4600195263064161,-0.2723170336072194,1.761737368505701,1.7938027583007645,0.8797661837899713,0.9130904645459603,0.9497701386492359,0
0.05,0.17801073614096374,0.3,0.5456046779608855,-0.4570343115543408,-0.26607267426803094,1.7556889252017907,1.7901844793823851,0.8767457472717491,0.9112486700882633,0.9459246005577261,0
0.05,0.17801073614096374,0.3075,0.5548847279676152,-0.45376263539037587,-0.25955298060171056,1.7497023099740727,1.7866590273373462,0.87375618609943,0.9094541268305707,0.9420289488036512,0
0.05,0.17801073614096374,0.315,0.564126660916236,-0.4502130733880471,-0.25276874206736455,1.7437807225490953,1.7832294930562966,0.8707990981338896,0.9077084081135216,0.9380841778555603,0
0.05,0.17801073614096374,0.3225,0.5733242566079858,-0.4463948243677549,-0.24573133455495988,1.7379272031360067,1.7798988066604278,0.8678760015771301,0.906013005442081,0.9340913291439366,0
0.05,0.17801073614096374,0.32999999999999996,0.5824714163766769,-0.4423176612714919,-0.23845266553965502,1.7321446279021573,1.7766697332263963,0.8649883327129128,0.9043693263094177,0.9300514889546114,0
0.05,0.17801073614096374,0.33749999999999997,0.5915621787316858,-0.4379918798779217,-0.23094511732183168,1.7264357052349772,1.7735448692579494,0.8621374440400358,0.9027786924008742,0.9259657862026932,0
0.05,0.17801073614096374,0.345,0.6005907342181902,-0.4334282458016754,-0.22322148882530882,1.720802972785292,1.77052663990049,0.8593246027958424,0.90124233817611,0.9218353900983477,0
0.05,0.17801073614096374,0.3525,0.6095514394204364,-0.42863794022356855,-0.2152949364264158,1.7152487952815618,1.767617296889485,0.8565509898647088,0.8997614098247909,0.91766150771628,0
0.05,0.17801073614096374,0.36,0.6184388300419681,-0.4236325047958788,-0.20717891428118995,1.7097753630992643,1.7648189172187092,0.85381769906363,0.8983369645886908,0.9134453814811625,0
0.05,0.17801073614096374,0.3675,0.6272476330053605,-0.4184237861590448,-0.19888711460716865,1.7043846915647178,1.7621334025096755,0.8511257367945685,0.8969699704407169,0.90918828658155,0
0.05,0.17801073614096374,0.375,0.6359727775229647,-0.4130238804935373,-0.19043340836049966,1.699078620968186,1.759562479059396,0.8484760220509967,0.8956613061092207,0.9048915283250006,0
0.05,0.17801073614096374,0.3825,0.6446094050993673,-0.4074450785135711,-0.18183178672879258,1.6938588172570863,1.7571076985398157,0.8458693867640685,0.8944117614340273,0.9005564394472012,0
0.05,0.17801073614096374,0.39,0.6531528784355568,-0.40169981128826265,-0.17309630383581778,1.6887267733766045,1.75477043931889,0.8433065764720874,0.8932220380388972,0.8961843773878627,0
0.05,0.17801073614096374,0.39749999999999996,0.6615987892140902,-0.39580059725125627,-0.1642410210263247,1.6836838112219725,1.7525519083703642,0.8407882512954233,0.8920927503036514,0.8917767215460198,0
0.05,0.17801073614096374,0.40499999999999997,0.6699429647536994,-0.38975999073232104,-0.15527995306852627,1.6787310841641434,1.7504531437368545,0.8383149871977699,0.8910244266179418,0.8873348705271401,0
0.05,0.17801073614096374,0.4125,0.6781814735307292,-0.38359053231444934,-0.14622701657869414,1.673869580108535,1.7484750175088157,0.8358872775136018,0.8900175108976195,0.8828602393941288,0
0.05,0.17801073614096374,0.42,0.6863106295733888,-0.3773047012881884,-0.1370959809375023,1.6691001250449788,1.7466182392804306,0.833505534720928,0.8890723643438696,0.878354256933911,0
0.05,0.17801073614096374,0.4275,0.6943269957429958,-0.3709148704418062,-0.12790042193175769,1.6644233870459062,1.7448833600423264,0.8311700924378824,0.888189267424701,0.8738183629507894,0
0.05,0.17801073614096374,0.435,0.7022273859240851,-0.3644332633920029,-0.11865367831857312,1.659839880669183,1.7432707764703221,0.8288812076213862,0.8873684220580257,0.8692540055972293,0
0.05,0.17801073614096374,0.4425,0.7100088661523849,-0.3578719146257308,-0.1093688114723961,1.6553499717217832,1.741780735569097,0.8266390629460031,0.8866099539754028,0.8646626387521115,0
0.05,0.17801073614096374,0.44999999999999996,0.7176687547161785,-0.35124263238976083,-0.10005856823909837,1.6509538823406846,1.7404133396297314,0.8244437693412082,0.8859139152455502,0.8600457194558303,0
0.05,0.17801073614096374,0.45749999999999996,0.7252046212724373,-0.3445569645313593,-0.09073534708600628,1.6466516963479172,1.7391685514604764,0.8222953686655604,0.8852802869369378,0.855404705410914,0
0.05,0.17801073614096374,0.46499999999999997,0.7326142850242627,-0.3378261673612608,-0.08141116760276884,1.6424433648375838,1.7380461998508308,0.8201938364967165,0.8847089818991386,0.8507410525561028,0
0.05,0.17801073614096374,0.4725,0.7398958120106486,-0.3310611775793127,-0.07209764337558572,1.6383287119538386,1.737045985229988,0.8181390850168048,0.8841998476431203,0.8460562127210655,0
0.05,0.17801073614096374,0.48,0.7470475115633112,-0.32427258727410524,-0.06280595822694635,1.6343074408202671,1.7361674854819804,0.8161309659734041,0.8837526693012988,0.841351631368152,0
0.05,0.17801073614096374,0.4875,0.754067931988358,-0.31747062198078035,-0.05354684578485508,1.630379139582755,1.7354101618812996,0.8141692736971967,0.8833671726489176,0.8366287454267991,0
0.05,0.17801073614096374,0.495,0.7609558555329041,-0.31066512175624356,-0.044330572319727146,1.6265432875297958,1.7347733651144264,0.8122537481582924,0.8830430271691567,0.8318889812254194,0
0.05,0.17801073614096374,0.5025,0.7677102926983722,-0.3038655252083571,-0.0351669227639268,1.6227992612561872,1.7342563413544956,0.8103840780442186,0.88277984914529,0.8271337525248337,0
0.05,0.17801073614096374,0.51,0.7743304759632208,-0.2970808563954178,-0.026065189808290534,1.6191463408381925,1.7338582383582557,0.8085599038436376,0.8825772047641885,0.8223644586565357,0
0.05,0.17801073614096374,0.5175,0.7808158529782064,0.001136263168228846,0.2744218117106011,3.3060580887256505,3.54751653004585,1.6509601034194783,1.80577463236397,0.8175824827683488,P
